"IMAGE	MEDICINE_NAME	GENERIC_NAME	DISEASE	DESCRIPTION",,
"954.png	Dinafex	Fexofenadine Hydrochloride	yeast infections (vaginal"," oral thrush)	Dinafex contains Fexofenadine Hydrochloride for yeast infections (vaginal", oral thrush). It is a non-sedating antihistamine for allergy relief.
"955.png	Dinafex	Fexofenadine Hydrochloride	yeast infections (vaginal"," oral thrush)	Dinafex contains Fexofenadine Hydrochloride for yeast infections (vaginal", oral thrush). It is a non-sedating antihistamine for allergy relief.
"956.png	Dinafex	Fexofenadine Hydrochloride	yeast infections (vaginal"," oral thrush)	Dinafex contains Fexofenadine Hydrochloride for yeast infections (vaginal", oral thrush). It is a non-sedating antihistamine for allergy relief.
"957.png	Dinafex	Fexofenadine Hydrochloride	yeast infections (vaginal"," oral thrush)	Dinafex contains Fexofenadine Hydrochloride for yeast infections (vaginal", oral thrush). It is a non-sedating antihistamine for allergy relief.
"958.png	Dinafex	Fexofenadine Hydrochloride	yeast infections (vaginal"," oral thrush)	Dinafex contains Fexofenadine Hydrochloride for yeast infections (vaginal", oral thrush). It is a non-sedating antihistamine for allergy relief.
"959.png	Dinafex	Fexofenadine Hydrochloride	yeast infections (vaginal"," oral thrush)	Dinafex contains Fexofenadine Hydrochloride for yeast infections (vaginal", oral thrush). It is a non-sedating antihistamine for allergy relief.
"960.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"961.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"962.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"963.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"964.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"965.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"966.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"967.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"968.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"969.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"970.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"971.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"972.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"973.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"974.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"975.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"976.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"977.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"978.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"979.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"980.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"981.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"982.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"983.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"984.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"985.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"986.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"987.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"988.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"989.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"990.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"991.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"992.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"993.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"994.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"995.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"996.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"997.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"998.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"999.png	Disopan	Clonazepam	seizure disorders (epilepsy)	Disopan contains Clonazepam for seizure disorders (epilepsy). It is a benzodiazepine for seizure control.",,
"1000.png	Esonix	Esomeprazole	nausea and diarrhea	Esonix contains Esomeprazole for nausea and diarrhea. It is a proton pump inhibitor that reduces stomach acid.",,
"1001.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1002.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1003.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1004.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1005.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1006.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1007.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1008.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1009.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1010.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1011.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1012.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1013.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1014.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1015.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1016.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1017.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1018.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1019.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1020.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1021.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1022.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1023.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1024.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1025.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1026.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1027.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1028.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1029.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1030.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1031.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1032.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1033.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1034.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1035.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1036.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1037.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1038.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1039.png	Esonix	Esomeprazole	nausea and diarrhea 	Esonix contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1040.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1041.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1042.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1043.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1044.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1045.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1046.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1047.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1048.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1049.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1050.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1051.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1052.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1053.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1054.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1055.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1056.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1057.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1058.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1059.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1060.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1061.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1062.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1063.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1064.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1065.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1066.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1067.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1068.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1069.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1070.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1071.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1072.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1073.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1074.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1075.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1076.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1077.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1078.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1079.png	Esoral	Esomeprazole	nausea and diarrhea 	Esoral contains Esomeprazole for nausea and diarrhea . It is a proton pump inhibitor that reduces stomach acid.",,
"1080.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1081.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1082.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1083.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1084.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1085.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1086.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1087.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1088.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1089.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1090.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1091.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1092.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1093.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1094.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1095.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1096.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1097.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1098.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1099.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1100.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1101.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1102.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1103.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1104.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1105.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1106.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1107.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1108.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1109.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1110.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1111.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1112.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1113.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1114.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1115.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1116.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1117.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1118.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1119.png	Etizin	Cetirizine Hydrochloride	itchy/watery eyes	Etizin contains Cetirizine Hydrochloride for itchy/watery eyes. It blocks histamine H1 receptors to relieve allergy symptoms.",,
"1120.png	Exium	Esomeprazole	headache"," nausea	Exium contains Esomeprazole for headache", nausea. It is a proton pump inhibitor that reduces stomach acid.
"1121.png	Exium	Esomeprazole	headache"," nausea	Exium contains Esomeprazole for headache", nausea. It is a proton pump inhibitor that reduces stomach acid.
"1122.png	Exium	Esomeprazole	headache"," nausea	Exium contains Esomeprazole for headache", nausea. It is a proton pump inhibitor that reduces stomach acid.
